ID,Sector,LastPage,SmokedIn30Days,Extraverted,Critical,Dependable,Anxious,OpenExp,Reserved,Sympathetic,Disorganized,Calm,Conventional,DifficultRefrain,CigsPerDay,SmokeMoreEarly,SmokeWhileIll,TimeToFirstCig,HateToGiveUp,FirstCigAge,SmokingChangePostCrisis,AffordFavoriteBrand,SwitchedBrandPostCrisis,Gender,Age,Governorate,EducationLevel,CurrentEmploymentStatus,MaritalStatus,CloseFriends,NumSmokerFriends,MainIncomeSource,HouseholdIncomeType,MonthlyIncome,IncomeSufficiency,HouseholdSize,FinancialImpact,ExerciseFreq,SocialMediaHours,StressFreq,EmploymentStatusGeneral
181,0,5,0,0,1,2,2,0,3,0,1,4,4,0,0,0,0,0,0,17,1,1,2,1,18,2,3,2,3,1,3,4,2,5,1,4,1,3,4,1,1
184,0,5,0,0,0,1,2,1,6,2,4,3,0,0,0,0,0,2,0,20,0,0,2,0,28,2,5,3,3,1,2,1,2,4,3,5,4,3,0,1,0
185,0,5,0,3,1,2,1,1,0,6,4,6,4,0,0,0,0,1,0,15,1,1,0,0,18,2,3,2,3,1,5,4,2,5,1,8,1,1,0,1,1
200,0,5,0,1,4,2,0,1,0,2,4,6,3,0,0,0,0,2,0,16,1,1,0,0,23,2,4,2,0,1,2,2,2,2,3,3,3,3,0,0,1
201,0,5,0,0,0,1,0,1,2,0,5,6,4,0,1,1,0,2,1,20,0,0,2,1,21,0,3,2,3,1,2,4,2,5,3,6,1,3,3,3,1
206,0,5,0,0,2,0,2,3,3,0,4,4,3,0,0,0,0,2,0,14,0,1,0,0,18,0,2,2,3,1,1,4,2,4,1,4,3,3,4,0,1
207,0,5,0,2,1,2,0,2,4,2,5,0,5,0,2,0,0,1,0,18,1,0,2,0,21,0,3,2,3,1,5,2,3,4,3,1,1,3,2,1,1
208,0,5,0,2,6,2,1,2,5,0,4,1,5,0,0,0,0,2,0,18,1,1,0,0,18,0,3,2,2,1,5,4,2,5,3,5,4,1,1,1,1
210,0,5,0,0,0,3,0,1,3,3,0,3,3,1,1,1,1,1,1,18,1,1,0,1,23,0,1,3,3,1,3,1,1,6,3,5,4,2,0,1,0
211,0,5,0,1,1,2,3,2,4,0,3,4,4,0,0,0,0,2,0,14,2,1,0,0,24,0,1,2,3,1,4,4,1,5,1,5,2,0,0,1,1
212,0,5,0,3,0,2,3,0,1,4,5,1,5,0,1,0,0,0,1,16,1,1,0,1,22,1,1,3,3,0,5,4,1,7,1,3,3,1,1,1,0
218,0,5,0,2,5,2,4,1,4,1,5,1,4,1,0,0,0,2,0,21,0,1,0,0,28,2,0,1,2,1,2,1,1,6,1,0,2,2,2,1,0
219,0,5,0,0,0,3,0,0,4,1,0,6,0,0,1,0,0,0,0,15,2,1,0,0,22,0,1,1,3,1,2,1,1,7,1,3,3,3,1,3,0
221,0,5,0,2,5,3,5,2,5,1,4,4,4,0,1,0,0,1,0,17,1,1,2,0,20,2,3,2,3,1,4,4,2,4,3,2,1,3,0,3,1
222,0,5,0,1,1,0,1,2,0,6,0,0,5,0,0,1,0,2,0,17,2,1,0,1,20,2,0,2,3,1,3,4,0,3,3,2,4,2,4,1,1
223,0,5,0,3,0,2,6,1,0,0,5,2,3,0,2,0,1,1,1,16,0,1,0,1,23,0,1,3,3,1,4,1,2,6,1,6,1,3,1,1,0
226,0,5,0,4,1,2,0,0,0,2,5,4,5,0,0,0,0,2,0,17,0,0,2,0,22,2,0,2,3,1,3,4,0,7,2,2,0,2,0,1,1
229,0,5,0,1,3,0,6,2,5,6,4,4,5,1,2,1,0,1,1,18,2,1,0,1,25,0,1,1,2,1,4,1,2,6,1,6,4,3,3,1,0
230,0,5,0,5,3,1,5,1,0,4,4,0,5,0,0,1,0,0,0,22,2,0,0,1,27,6,0,1,3,1,5,1,0,3,2,3,1,3,0,3,0
232,0,5,0,0,4,2,1,0,6,1,5,6,6,0,1,0,1,2,0,17,2,1,0,0,22,2,1,1,3,1,4,1,2,6,1,5,1,2,1,0,0
234,0,5,0,0,6,1,1,0,1,1,1,1,4,0,0,0,0,1,1,20,2,1,0,1,24,0,0,1,3,1,1,1,1,5,1,3,1,3,1,3,0
235,0,5,0,2,0,2,0,2,3,2,5,0,0,0,0,0,0,2,0,17,0,1,2,0,27,0,4,2,3,1,2,2,2,3,3,4,2,2,0,1,1
236,0,5,0,6,3,0,2,0,1,2,0,3,5,0,1,1,0,3,0,18,2,1,0,0,23,0,0,1,3,1,3,1,1,7,0,0,2,1,2,1,0
238,0,5,0,3,3,1,0,1,0,0,3,0,4,1,0,0,0,0,0,18,2,1,0,0,23,0,0,1,3,1,5,4,1,5,3,3,1,3,2,1,1
239,0,5,0,1,3,0,1,6,0,2,0,3,0,0,0,0,0,2,0,21,1,1,0,0,21,1,1,2,3,1,3,4,0,5,3,5,1,3,2,1,1
240,0,5,0,6,5,1,0,1,0,0,5,0,5,0,0,0,0,2,0,24,2,1,0,0,29,0,5,1,3,1,5,1,1,7,3,3,3,3,0,3,0
241,0,5,0,1,1,1,6,1,4,1,6,6,3,0,1,1,1,1,0,13,2,1,0,1,30,0,0,1,1,1,5,1,2,6,1,2,3,3,0,1,0
242,0,5,0,0,1,2,4,0,3,1,5,1,5,0,0,0,0,2,0,20,1,1,0,1,25,0,1,1,3,1,3,1,1,6,1,4,2,2,1,3,0
245,0,5,0,6,0,0,1,1,6,2,0,3,3,0,0,0,1,0,1,13,1,1,0,0,22,5,1,1,3,1,3,1,2,0,2,1,3,3,2,1,0
246,0,5,0,6,0,1,1,2,0,1,2,3,1,0,0,0,1,2,1,17,1,1,0,1,25,5,4,0,3,1,2,1,0,0,2,3,1,1,4,1,0
248,0,5,0,2,0,3,0,2,5,2,3,3,6,1,2,0,1,3,1,15,1,1,0,0,24,5,3,1,3,1,5,3,0,0,2,5,1,1,4,1,0
